Timestamp;ATB_Status;BoomLength;BoomOverHoist_Status;Bypass_Status;Config;MainAngle;MainLoad;Overload_Status;Radius;SWL
2023-11-26 20:56:15;0;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:56:18;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:56:22;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:56:25;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:56:28;0;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:56:31;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:56:35;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:56:38;0;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:56:41;0;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:56:45;0;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:56:48;0;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:56:51;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:56:55;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:56:58;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:01;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:05;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:08;0;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:11;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:15;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:18;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:21;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:25;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:28;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:31;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:35;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:38;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:41;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:45;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:48;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:51;0;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:55;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:57:58;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:01;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:04;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:08;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:11;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:14;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:18;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:21;0;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:24;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:28;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:31;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:34;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:38;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:41;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:44;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:48;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:51;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:54;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:58:58;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:01;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:04;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:08;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:11;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:14;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:18;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:21;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:24;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:27;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:31;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:34;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:37;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:41;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:44;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:47;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:51;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:54;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 20:59:57;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:01;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:04;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:07;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:11;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:14;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:17;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:21;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:24;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:27;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:31;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:34;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:37;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:41;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:44;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:47;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:56;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:00:59;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:02;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:06;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:09;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:12;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:16;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:19;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:22;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:26;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:29;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:32;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:36;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:39;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:42;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:46;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:49;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:52;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:56;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:01:59;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:03;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:06;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:09;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:13;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:16;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:19;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:23;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:26;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:29;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:32;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:36;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:44;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:48;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:51;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:54;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:02:58;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:01;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:04;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:07;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:11;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:14;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:18;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:21;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:24;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:27;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:31;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:34;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:38;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:41;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:44;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:48;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:51;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:54;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:03:58;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:01;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:04;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:07;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:11;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:14;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:18;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:21;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:24;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:28;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:31;0;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:34;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:38;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:41;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:44;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:48;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:51;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:54;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:04:58;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:01;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:04;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:08;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:11;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:14;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:18;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:21;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:24;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:28;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:31;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:34;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:38;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:41;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:44;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:48;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:51;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:54;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:05:58;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:01;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:04;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:08;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:11;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:14;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:18;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:21;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:24;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:28;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:31;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:34;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:38;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:41;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:44;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:48;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:51;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:54;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:06:57;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:07:01;0;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:07:04;0;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:07:07;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:07:11;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:07:14;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:07:17;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:07:21;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:07:28;1;12.0;0;0;Crane;0;0;0;0;0
2023-11-26 21:07:31;0;12.0;0;0;Crane;0;0;0;0;0
